episode,task_id,skills,difficulty,curriculum_bucket,self_rating,success,reward,task_score,skill_improvement,consistency,skill_drop
1,debug_mid_1,"coding,debugging",0.58,easy,0.304,False,-0.454,-0.4,0.0,0.0,0.06
2,reason_easy_1,reasoning,0.25,easy,0.5345,True,1.1047,1.0,0.0924,0.2,0.0
3,opt_hard_1,optimization,0.82,easy,0.101,False,-0.427,-0.4,0.0,0.0,0.03
4,math_easy_1,arithmetic,0.2,easy,0.528,True,1.1045,1.0,0.0921,0.2,0.0
5,math_mid_1,"reasoning,arithmetic",0.45,easy,0.5239,True,1.2895,1.0,0.185,0.8,0.0
6,persuasion_mid_1,"communication,persuasion",0.55,easy,0.3855,False,-0.454,-0.4,0.0,0.0,0.06
7,math_mid_1,"reasoning,arithmetic",0.45,easy,0.5954,True,1.3707,1.0,0.1867,1.2,0.0
8,debug_mid_1,"coding,debugging",0.58,easy,0.274,False,-0.454,-0.4,0.0,0.0,0.06
9,strategy_mid_1,"strategy,decision_making",0.62,easy,0.296,False,-0.454,-0.4,0.0,0.0,0.06
10,math_easy_1,arithmetic,0.2,easy,0.7427,True,1.2262,1.0,0.0946,0.8,0.0
11,persuasion_mid_1,"communication,persuasion",0.55,easy,0.3555,False,-0.454,-0.4,0.0,0.0,0.06
12,reason_hard_1,advanced_reasoning,0.72,easy,0.17,False,-0.427,-0.4,0.0,0.0,0.03
13,math_easy_1,arithmetic,0.2,easy,0.8155,True,1.2668,1.0,0.0955,1.0,0.0
14,math_mid_1,"reasoning,arithmetic",0.45,easy,0.7404,True,1.493,1.0,0.19,1.8,0.0
15,opt_hard_1,optimization,0.82,easy,0.071,False,-0.427,-0.4,0.0,0.0,0.03
16,opt_hard_1,optimization,0.82,easy,0.041,False,-0.427,-0.4,0.0,0.0,0.03
17,math_mid_1,"reasoning,arithmetic",0.45,easy,0.8134,True,1.5342,1.0,0.1917,2.0,0.0
18,reason_hard_1,advanced_reasoning,0.72,easy,0.14,False,-0.427,-0.4,0.0,0.0,0.03
19,math_mid_1,"reasoning,arithmetic",0.45,easy,0.8869,True,1.4965,1.0,0.1378,2.0,0.0
20,persuasion_mid_1,"communication,persuasion",0.55,easy,0.3255,False,-0.454,-0.4,0.0,0.0,0.06
21,opt_hard_1,optimization,0.82,easy,0.011,False,-0.418,-0.4,0.0,0.0,0.02
22,math_easy_1,arithmetic,0.2,easy,1.0,True,1.2,1.0,0.0,1.0,0.0
23,strategy_mid_1,"strategy,decision_making",0.62,easy,0.266,False,-0.454,-0.4,0.0,0.0,0.06
24,math_mid_1,"reasoning,arithmetic",0.45,easy,0.9522,True,1.4684,1.0,0.0977,2.0,0.0
25,reason_hard_1,advanced_reasoning,0.72,easy,0.11,False,-0.427,-0.4,0.0,0.0,0.03
26,strategy_mid_1,"strategy,decision_making",0.62,easy,0.236,False,-0.454,-0.4,0.0,0.0,0.06
27,math_easy_1,arithmetic,0.2,easy,1.0,True,1.2,1.0,0.0,1.0,0.0
28,strategy_mid_1,"strategy,decision_making",0.62,easy,0.206,False,-0.454,-0.4,0.0,0.0,0.06
29,strategy_mid_1,"strategy,decision_making",0.62,easy,0.176,False,-0.454,-0.4,0.0,0.0,0.06
30,opt_hard_1,optimization,0.82,easy,0.0,False,-0.4,-0.4,0.0,0.0,0.0
